名称/俗名/英文名	CAS
二甲基亚砜	67-68-5
丙烯酸	79-10-7
甲苯	108-88-3
MES hydrate 咪唑	1266615-59-1
双酚A bispheno A glycerolate	1565-94-2
三乙胺	121-44-8
AgBF4 四氟硼酸银	14104-20-2
1-苄基-3-甲基咪唑六氟磷酸盐	433337-11-2
二甲基硅油	63148-62-9
1-丁基-3-甲基-氯化咪唑	79917-90-1
36-38%盐酸	7647-01-0
甲基丙烯酰氧丙基三(三甲基硅氧烷基)硅烷	17096-07-0
荧光桃红B	18472-87-2
正己烷	92112-69-1
"N,N-二甲基甲酰胺"	68-12-2
氢氟酸	7664-39-3
壳聚糖盐酸盐	70694-72-3
丙酮	67-64-1
酸性红52	3520-42-1
硅烷偶联剂KH-570	2530-85-0
尼罗红	7385-67-3
四氰合硼酸钾	261356-49-4
三氯甲烷	67-66-3
1-乙基咪唑	7098-07-9
十二烷基硫酸钠	151-21-3
十八烷基三氯硅烷	112-04-9
1X TE缓冲液	
氯化铜二水合物	10125-13-0
聚(二甲基硅氧烷)	106214-84-0
"2,6-吡啶-二甲酰氯"	3739-94-4
氯化钙，二水	10035-04-8
0.01M PBS 磷酸盐缓冲液	
二氯甲烷	1975/9/2
四氟硼酸钠	13755-29-8
三氯化铁	7705-08-0
二氯甲基硅烷	20156-50-7
食人鱼液（浓硫酸和30%过氧化氢的混合物（7:3））	
N-羟基琥珀酰亚胺	6066-82-6
N-羟基磺酰基琥珀酰亚胺钠盐	106627-54-7
碱性红1	989-38-8
氯化钠	7647-14-5
磷酸二氢钠	7558-80-7
醋酸锌	557-34-6
四丁基六氟磷酸铵	3109-63-5
氯铂酸钾	16921-30-5
丙醚	111-43-3
	
	
药品位置	4-2号
名称/俗名/英文名	CAS
戊二醛	111-30-8
1-丁醇	71-36-3
酢酸铁	10450-55-2
无水乙醇	64-17-5
二甲基亚砜，色谱级	67-68-5
PMDS 聚二甲基硅氧烷	130169-63-0
三苯基溴基乙烯	1607-57-4
四氢呋喃	109-99-9
苏丹红	85-86-9
乙酸乙酯	141-78-6
1X PBS缓冲液	
碳酸二甲酯	616-38-6
甲基黄指示剂	60-11-7
丙烯酰胺	79-06-1
二甲基亚砜，带分子筛	67-68-5
二甲基硅油	9006-65-9
羊毛脂	8006-54-0
聚乙烯醇	9002-89-5
磷酸二氢钾	7778-77-0
1-十二烷基磺酸钠盐	2386-53-0
二水合磷酸氢二钠	10028-24-7
羟甲基纤维素钠	9085-26-1
邻苯二甲酸二丁酯	872-50-4
偶氮苯	103-33-3
叔丁醇	75-65-0
超亲水面涂底涂	
双酚A聚碳酸酯	24936-68-3
钾石墨KC8	12081-88-8
高氯酸钠	7601-89-0
四乙二醇二甲醚	143-24-8
溴化亚铜	7787-70-4
"1,4-双（丙烯酰氧基）丁烷"	1070-70-8
"顺-3,5,5-三甲基乙酸己酯"	24691-16-5
	
	
药品位置	3号
名称/俗名/英文名	CAS
分子筛	308080-99-1
1X TE Buffer	
乙酸	64-19-7
L-酪氨酸	60-18-4
正辛烷	111-65-9
碘化钾	7681-11-0
"二氢-3-[3-(三乙氧基硅基)丙基]呋喃-2,5-二酮"	93642-68-3
氯化钠	7647-14-5
石墨	7782-42-5
维生素B2	83-88-5
"Arkema HSV900 PVDF binder for Li-ion Battery Electrodes
PVDF粉末"	
TIMCAL Graphite & Carbon Super P	
"聚乙二醇单辛基苯基醚
（乳化剂TX-10）"	9002-93-1
酸性橙7（橙黄II）	633-96-5
酸性红94（孟加拉玫瑰红）	632-69-9
阿尔新蓝8GX	33864-99-2
1-乙基-3-甲基咪唑双（三氟甲烷磺酰）亚胺盐	174899-82-2
1-乙基-3-甲基咪唑四氟硼酸盐	143314-16-3
硫酸二丁酯	625-22-9
"1,4-萘醌"	130-15-4
超细PMMA粉	9011-14-7
蒽醌	84-65-1
聚砜树脂	25135-51-7
0.1M LiClO4	7791—03—9
0.1M Ba(ClO4)2	10294-39-0
0.1M NaClO4	7601-89-0
0.1M Ca(ClO4)2	13477-36-6
0.1M CsClO4	13454-84-7
0.1M KClO4	7778-74-7
二碘甲烷	75—11—6
聚丙烯酸	9003—1—4
苯醌	106-51-4
双十二烷基二甲基溴化铵	3282-73-3
silicone elastomer	
1M Tris-HCl Solution	2647-01-0
十六烷基三甲基溴化铵	57-09-0
二甲基硅油	63148-62-9
十二烷	112-40-3
正十三烷	629-50-5
硝基苯	98-95-3
氯化镁(六水合物)	7791-18-6
丙醇	71-23-8
氯化锰	13446-34-9
异丙醇	67-63-0
正丁醇	71-36-3
正辛醇	111-87-5
硝酸铜(II)2.5水	19004-19-4
氯化镧水合物	20211-76-1
2-甲基咪唑	693-98-1
氯化钆	13450-84-5
正辛烷	111-65-9
正十六烷	544-76-3
二氯甲烷	75—09—2
六水合氯化镧	17272-45-6
六水合硝酸锌	10196-18-6
"N,N-二乙基-3-氨丙基三甲氧基硅烷"	41051-80-3
对氨基苯酚	123-30-8
正己酸乙酯	123-66-0
六水氯化钙	7774-34-7
二乙氧基二甲基硅烷	78-62-6
己二酸	124-04-9
亚硝酸钠	7632-00-0
均三甲苯	108-67-8
乙酸乙酯	141-78-6
Scotch-Weld Threadlocker	
对苯二甲酸	100-21-0
甲醇	67-56-1
正庚烷	142-82-5
二氧化钛	13463-67-7
乳酸乙酯	97-64-3
2-甲基咪唑	693-98-1
六水合硝酸锌	10196-18-6
6-巯基己-1-醇	1633-78-9
丙烯画颜料黑色	
六水氯化铬	10060-12-5
聚乙烯吡咯烷酮	9003-39-8
"2,2-二乙氧基苯乙酮"	6175-45-7
双(乙酰丙酮基)二异丙基钛酸酯	17927-72-9
氯化铯	7647-17-8
聚乙二醇	25322-68-3
聚甲基丙烯酸甲酯	9011-14-7
苯甲醚	100-66-3
荧光素	2321—7—5
乙基纤维素	9004-57-3
六水合硝酸钴	10026-22-9
UV树脂	型号7290
三氯甲烷	67-66-3
丙烯酰胺	79—06—1
对苯二甲酸	100-21-0
乙酸	64-19-7
"N,N'-亚甲基双丙烯酰胺"	110-26-9
叔丁醇	75-65-0
乙二醇二甲基丙烯酸酯	97-90-5
碳酸钾	584-08-7
异丙醇	67-63-0
氟氢化铵	1341-49-7
甲酸	64-18-6
辛酸	124-07-2
超干吡啶	110-86-1
正癸烷	124-18-5
二甲基亚砜	67-68-5
苯乙酮	98-86-2
荧光素钠	518-47-8
乙烯基三甲氧基硅烷	2768—02—7
六水合硝酸钴	10026-22-9
苯甲酸	65-85-0
三氯化铝	7784-13-6
二氯甲烷	75—09—2
氯化钆	13450-84-5
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-十七氟癸基三甲氧基硅烷"	83048-65-1
六水合硝酸镍	13478-00-7
四丁基高氯酸铵	1923-70-2
三氟丙基甲基二氯硅烷	675-62-7
	11026-11-6
十六烷基三甲氧基硅烷	16415-12-6
0.2M磷酸盐缓冲液	
正己醇	111-27-3
氯化铜	10125-13-0
4-酰基-18-冠醚	68865-32-7
N-乙烯基吡咯烷酮	88-12-0
3-甲基丙烯酸丙基三(三甲氧基硅)	17096-07-0
N-(三甲氧基硅丙基)乙二胺三乙酸钠盐	128850-89-5
硫酸铜	7758-98-7
氢氧化钠	1310-73-2
甘油	56-81-5
考马斯亮蓝R250	6104-59-2
7-溴庚酸乙酯	29823-18-5
中-四(4-羧基苯基)卟吩	14609-54-2
"乙酸锌,二水"	5970-45-6
10-溴代癸酸乙酯	55099-31-5
四氯化铪	13499-05-3
4-溴丁酸乙酯	2969-81-5
"氯氧化锆,八水"	13520-92-8
"1,1'-二茂铁甲酸"	1293-87-4
四氯化锆	10026-11-6
四(4-羧基苯)乙烯	1351279-73-6
对苯二甲醛	623-27-8
吡嗪	290-37-9
均三甲苯	108-67-8
"1,4-苯二硼酸"	4612-26-4
均苯三甲酸	554-95-0
"2,3,6,7,10,11-六羟基三苯"	4877-80-9
"1,3,5-三(4-羧基苯基)苯"	50446-44-1
正戊酸	109-52-4
正丁酸	107-92-6
正己醇	111-27-3
正己酸	142-62-1
辛酸	124-07-2
氯化镍六水合物	7791-20-0
"氯化钴,六水"	7791-13-1
硅烷偶联剂KH-550	919-30-2
乙醇	64-17-5
三乙胺	121-44-8
3-巯基丙酸	107-96-0
乙二醇二甲醚	110-71-4
N-甲基吡咯烷酮(NMP)	872-50-4
溶剂红 27	1320-06-5
"1,3-二氧戊环"	646-06-0
亚甲基蓝	61-73-4
咪唑	288-32-4
羧基乙基硅烷三醇钠盐	18191-40-7
亚甲基蓝	7220-79-3
盐酸多巴胺	62-31-7
硬脂酸	57—11—4
多库脂钠	577-11-7
碳酸乙烯酯	96-49-1
3-(甲基丙烯酰氧)丙基三甲氧基硅烷	2530-85-0
对二甲苯	106-42-3
4-羟乙基哌嗪乙磺酸	7365-45-9
碘	7553-56-2
硫酸钾	7778-80-5
三辛胺	1116-76-3
酚酞	77—09—8
可溶性淀粉	9005-84-9
"2,2'-二吡啶甲基胺"	1539-42-0
二(2-乙基己基)磷酸酯	298-07-7
五氟苯酚	771-61-9
Polyaniline (emeraldine salt)	335349-50-3
双三氟甲基磺酰亚胺锂	90076-65-6
对二甲苯	106-42-3
安息香双甲醚	24650-42-8
四氯化碳	56-23-5
丁二酸酐	108-30-5
乙硫氮	148-18-5
三甲基铝	75-24-1
甘油	56-81-5
双三氟甲基磺酰亚胺锂	90076-65-6
碳酸二乙酯	105-58-8
乙腈	75—05—8
乙酸铵	631-61-8
硝酸锂	7790-69-4
"1,3-二氧戊环"	646-06-0
氯化镁	7786-30-3
正己烷	110-54-3
硅胶	112926-00-8
20mM/L TRIS-HCl buffer	7647-01-0
2-甲基-2-丙烯酸-2-羟乙基酯磷酸酯	52628-03-2
氯化钾	7447-40-7
铁氰化钾	13746-66-2
1-己基-3-甲基咪唑四氟硼酸盐	244193-50-8
(三甲基)甲基环戊二烯合铂(IV)	94442-22-5
"4',6-二脒基-2-苯基吲哚二盐酸盐"	28718-90-3
"N,N-二甲基甲酰胺"	68—12—2
"1,3-二氨基胍盐酸盐"	36062-19-8
十二烷基三甲基氯化铵	112-00-5
1-乙基-3-甲基咪唑四氟硼酸盐	143314-16-3
荧光素钠	518-47-8
氯化镁	7786-30-3
盐酸胍	50—01—1
正庚烷	142-82-5
聚二甲基二烯丙基氯化铵	26062-79-3
聚苯乙烯磺酸钠	25704-18-1
硝酸钾	7757-79-1
正己烷	110-54-3
2-氨基对苯二甲酸	10312-55-7
橙色荧光剂	82953-57-9
聚乙烯醇	9002-89-5
二氯甲烷	75—09—2
四氢呋喃	109-99-9
丁酮	78-93-3
聚乙烯亚胺	9002-98-6
四氯化锆	10026-11-6
乙酰丙酮	123-54-6
"N,N-二甲基乙酰胺(DMAC)"	127-19-5
二甲基亚砜	67-68-5
聚乙二醇	25322-68-3
三羟甲基氨基甲烷盐酸盐	1185-53-1
4'-氨基苯并-15-冠-5-醚	60835-71-4
