Name_en,CAS,role,functional_groups
DI water,7732-18-5,solvent,water|universal_solvent
PVA (polyvinyl alcohol),9002-89-5,main_polymer,hydroxyl|polyvinyl|water_soluble
DMSO,67-68-5,solvent,sulfoxide|polar_aprotic
Acrylic acid,79-10-7,secondary_polymer,carboxyl|vinyl|monomer
Toluene,108-88-3,solvent,aromatic|nonpolar
MES hydrate,1266615-59-1,,
Bisphenol A glycerolate,1565-94-2,,
Triethylamine,121-44-8,,
AgBF4 (silver tetrafluoroborate),14104-20-2,,
1-Benzyl-3-methylimidazole hexafluorophosphate,433337-11-2,,
Dimethicone,63148-62-9,,
1-Butyl-3-methylimidazole chloride,79917-90-1,,
Hydrochloric acid (HCl),7647-01-0,catalyst,strong_acid|pH_adjuster
Methacryloyloxypropyl tris(trimethylsiloxane)silane,17096-07-0,,
Fluorescent pink B,18472-87-2,,
n-Hexane,92112-69-1,solvent,alkane|nonpolar
Hydrofluoric acid,7664-39-3,,
Chitosan hydrochloride,70694-72-3,secondary_polymer,amine|polysaccharide
Acetone,67-64-1,solvent,ketone|polar
Acid Red 52,3520-42-1,,
Silane coupling agent KH-570,2530-85-0,,
Nile Red,7385-67-3,,
Tetrahydrofuran (stabilized),261356-49-4,solvent,ether|polar
Chloroform,67-66-3,solvent,chlorinated|nonpolar
1-Ethylimidazole,7098-07-9,,
Sodium dodecyl sulfate (SDS),151-21-3,additive,sulfate|surfactant
Octadecyltrichlorosilane,112-04-9,,
1X TE Buffer (Tris-EDTA),,,
Copper chloride dihydrate,10125-13-0,,
Poly(dimethylsiloxane),106214-84-0,,
Calcium chloride dihydrate,10035-04-8,,
0.01M PBS buffer,,,
Dichloromethane (DCM),1975/9/2,solvent,chlorinated|polar
Sodium tetrafluoroborate,13755-29-8,,
Ferric chloride,7705-08-0,,
Trimethylsilyl chloride,20156-50-7,,
Piranha solution (H2SO4:30%H2O2 = 7:3),,,
N-Hydroxysuccinimide (NHS),6066-82-6,,
N-Hydroxysulfosuccinimide sodium salt (Sulfo-NHS),106627-54-7,,
Basic Red 1 (Rhodamine 6G),989-38-8,,
Sodium chloride (NaCl),7647-14-5,additive,ionic|osmolyte
Sodium dihydrogen phosphate,7558-80-7,,
Zinc acetate,557-34-6,,
Tetrabutylammonium hexafluorophosphate,3109-63-5,,
Potassium hexachloroplatinate,16921-30-5,,
Dipropyl ether,111-43-3,,
Glutaraldehyde,111-30-8,crosslinker,aldehyde|dialdehyde
1-Butanol,71-36-3,solvent,hydroxyl|alcohol
Ferric acetate,10450-55-2,,
Ethanol (anhydrous),64-17-5,solvent,hydroxyl|alcohol|volatile
DMSO,67-68-5,solvent,sulfoxide|polar_aprotic
PDMS (polydimethylsiloxane),130169-63-0,,
Triphenylvinyl bromide,1607-57-4,,
Tetrahydrofuran (THF),109-99-9,solvent,ether|polar
Sudan Red,85-86-9,,
Ethyl acetate,141-78-6,solvent,ester|polar
1X PBS buffer,,,
Dimethyl carbonate,616-38-6,,
Methyl yellow,60-11-7,,
Acrylamide,79-06-1,secondary_polymer,amide|vinyl|monomer
DMSO,67-68-5,solvent,sulfoxide|polar_aprotic
Dimethicone 1000,9006-65-9,,
Lanolin,8006-54-0,,
PVA (polyvinyl alcohol),9002-89-5,main_polymer,hydroxyl|polyvinyl|water_soluble
Potassium dihydrogen phosphate,7778-77-0,,
1-Dodecanesulfonic acid sodium salt,2386-53-0,,
Sodium phosphate dibasic dihydrate,10028-24-7,,
Methyl cellulose,9085-26-1,,
N-Methyl-2-pyrrolidone (NMP),872-50-4,solvent,amide|polar_aprotic
Azobenzene,103-33-3,,
tert-Butanol,75-65-0,solvent,hydroxyl|alcohol|tertiary
Superhydrophilic surface coating primer,,,
Bisphenol A polycarbonate,24936-68-3,,
Graphite KC8,12081-88-8,,
Sodium perchlorate,7601-89-0,,
Tetraethylene glycol dimethyl ether,143-24-8,,
Copper(I) bromide,7787-70-4,,
"cis-3,5,5-Trimethylhexyl acetate",24691-16-5,,
Molecular sieve,308080-99-1,,
1X TE Buffer,,,
Acetic acid,64-19-7,,
L-Tyrosine,60-18-4,,
n-Octane,111-65-9,,
Potassium iodide,7681-11-0,,
(Triethoxysilyl)propyl-succinic anhydride,93642-68-3,,
Sodium chloride (NaCl),7647-14-5,additive,ionic|osmolyte
Graphene oxide,7782-42-5,nanofiller,carboxyl|hydroxyl|sheet_like
Vitamin B2 (Riboflavin),83-88-5,,
Arkema HSV900 PVDF binder,,,
TIMCAL Graphite & Carbon Super P,,,
Triton X-100,9002-93-1,,
Acid Orange 7,633-96-5,,
Acid Red 94 (Rose Bengal),632-69-9,,
Alcian Blue 8GX,33864-99-2,,
1-Ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,174899-82-2,,
1-Ethyl-3-methylimidazolium tetrafluoroborate,143314-16-3,,
Dibutyl sulfate,625-22-9,,
"1,4-Naphthoquinone",130-15-4,,
PMMA micropowder,9011-14-7,,
Anthraquinone,84-65-1,,
Polysulfone resin,25135-51-7,,
0.1M LiClO4,7791-03-9,,
0.1M Ba(ClO4)2,10294-39-0,,
Sodium perchlorate,7601-89-0,,
0.1M Ca(ClO4)2,13477-36-6,,
0.1M CsClO4,13454-84-7,,
0.1M KClO4,7778-74-7,,
Diiodomethane,75-11-6,,
Polyacrylic acid (PAA),9003-1-4,secondary_polymer,carboxyl|polyelectrolyte
p-Benzoquinone,106-51-4,,
Didodecyldimethylammonium bromide,3282-73-3,,
silicone elastomer,,,
1M Tris-HCl Solution,2647-01-0,,
Cetyltrimethylammonium bromide (CTAB),57-09-0,additive,quaternary_ammonium|surfactant
Dimethicone,63148-62-9,,
